"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000032657.15","Fam189b",8,8,18,1,26,19,9,10,10,8,11,5
"ENSMUSG00000105141.1","ENSMUSG00000105141.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027650.12","Tti1",19,33,27,10,17,42,19,34,31,45,38,13
"ENSMUSG00000089383.1","Gm24676",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049891.4","Gm7984",6,4,23,1,7,2,3,9,7,1,11,16
"ENSMUSG00000108442.1","ENSMUSG00000108442.1",5,10,11,1,13,7,6,4,7,5,6,1
"ENSMUSG00000107596.1","ENSMUSG00000107596.1",12,3,15,7,14,4,3,9,6,3,7,2
"ENSMUSG00000106392.1","ENSMUSG00000106392.1",12,6,10,4,22,4,10,14,6,22,14,4
"ENSMUSG00000028447.11","Dctn3",107,68,124,49,115,97,41,135,149,63,130,45
"ENSMUSG00000036636.10","Clcn7",17,31,70,18,33,33,16,86,78,42,42,19
"ENSMUSG00000114955.1","ENSMUSG00000114955.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107157.1","ENSMUSG00000107157.1",0,1,1,0,0,0,1,0,0,2,2,1
"ENSMUSG00000027628.10","Aar2",6,5,24,1,11,13,6,7,12,8,10,7
"ENSMUSG00000110088.1","ENSMUSG00000110088.1",9,4,6,0,7,7,3,6,7,7,1,3
"ENSMUSG00000037275.14","Gemin5",7,6,37,9,17,10,5,15,9,13,7,8
"ENSMUSG00000085295.7","4930430E12Rik",11,10,10,0,11,16,3,8,30,3,20,11
"ENSMUSG00000052214.9","Opa3",30,23,39,5,25,35,17,40,45,4,37,10
"ENSMUSG00000097651.2","4930461G14Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039960.5","Rhou",4,10,21,10,25,11,3,13,40,15,33,23
"ENSMUSG00000097989.1","Gm4335",1,1,2,0,4,2,1,4,3,3,3,2
"ENSMUSG00000032715.9","Trib3",0,0,0,0,0,2,0,2,2,0,1,0
"ENSMUSG00000020770.13","Unk",9,4,25,0,16,14,2,4,13,12,4,1
"ENSMUSG00000112120.1","ENSMUSG00000112120.1",0,0,0,0,0,0,0,0,0,0,0,0
