"Gene ID","name","HRT D4 P1","HRT D4 P2","HRT D4 P3","HRT D4 T1","HRT D4 T2","HRT D4 T3","HRT D7 P4","HRT D7 P5","HRT D7 P6","HRT D7 T1","HRT D7 T3","HRT D7 T4"
"ENSMUSG00000118537.1","ENSMUSG00000118537.1",10,4,0,11,4,4,3,4,7,16,6,2
"ENSMUSG00000003033.15","Ap1m1",96,76,44,91,50,47,103,54,124,97,50,45
"ENSMUSG00000088349.1","Gm22335",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105714.1","ENSMUSG00000105714.1",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000046341.5","Gm11223",83,61,43,72,87,43,67,22,88,34,25,20
"ENSMUSG00000024563.16","Smad2",43,45,48,43,59,23,77,60,96,50,44,29
"ENSMUSG00000076472.2","Trbv15",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037669.15","1110057K04Rik",56,45,11,85,40,32,47,37,59,53,15,9
"ENSMUSG00000068232.3","Vmn1r42",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026608.13","Kctd3",31,41,24,51,32,19,78,13,69,32,5,35
"ENSMUSG00000022440.9","C1qtnf6",2,0,0,2,0,1,1,0,1,0,5,0
"ENSMUSG00000038069.6","Cdkn2aip",6,12,14,32,18,4,25,10,15,7,9,10
"ENSMUSG00000079317.10","Trappc2",3,9,10,7,17,1,19,4,23,3,7,5
"ENSMUSG00000024991.8","Eif3a",384,301,192,423,222,159,418,290,525,280,186,133
"ENSMUSG00000114430.1","ENSMUSG00000114430.1",0,0,0,0,0,0,0,4,0,0,0,0
"ENSMUSG00000007777.9","0610009B22Rik",35,13,9,36,30,16,39,35,20,25,25,12
"ENSMUSG00000096553.2","Gm10097",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044442.11","N6amt1",19,11,9,42,13,6,18,18,16,17,14,12
"ENSMUSG00000045725.5","Prr15",1,0,0,2,0,0,0,0,0,0,1,1
"ENSMUSG00000006019.15","Dhx34",13,13,8,25,13,8,20,15,17,15,14,14
"ENSMUSG00000040167.16","Ikzf5",37,60,28,119,46,22,46,50,85,39,45,37
"ENSMUSG00000097032.2","4930539J05Rik",0,0,0,0,0,0,0,0,2,2,1,0
"ENSMUSG00000079659.5","Tmem243",199,197,165,276,100,55,164,307,318,206,197,141
